sentence,hate,category,is_harassment,harassment_type,severity,confidence_score
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.87
You are sz stupid 😤,1,Mixed,yes,bullying,5,0.76
Tmiiki ba bujho!!! 😤,1,Bangla,yes,hate_speech,3,0.97
Tmi ki bK bujho,1,English,yes,hate_speech,3,0.81
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.91
Eta pura nonsense!!!,1,Mixed,yes,hate_speech,4,0.82
Eta pura nonsense,1,English,yes,hate_speech,3,0.87
Tmi ki ba bujho 😤,1,Bangla,yes,hate_speech,4,0.88
Tmi ki ba bujho,1,English,yes,hate_speech,4,0.79
Tmi ki ba bujho...,1,Mixed,yes,hate_speech,4,0.98
Eta pura nonsense!!!,1,English,yes,hate_speech,3,0.94
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.98
Eta pura nonsense,1,Mixed,yes,hate_speech,3,0.96
Tmi ki ba bujho?? 🤮,1,English,yes,hate_speech,4,0.89
You are so stupid 😤,1,Bangla,yes,bullying,5,0.97
You are so stupid!!! 😂,1,English,yes,bullying,5,0.77
Tmi ki ba bujho 😤,1,Mixed,yes,hate_speech,3,0.8
You are so stupid 🤮,1,Bangla,yes,bullying,5,0.76
Tmi kz ba bujho?? 😤,1,Mixed,yes,hate_speech,5,0.83
You are so stupid,1,English,yes,bullying,4,0.84
Eta pura nonsense,1,Mixed,yes,hate_speech,3,0.82
Eta pura nonsense 😤,1,English,yes,hate_speech,4,0.95
Eta pura nonsense...,1,Bangla,yes,hate_speech,4,0.84
You are so stuTid 🤮,1,English,yes,hate_speech,4,0.82
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.88
Eta pura ngnsense!!!,1,Bangla,yes,hate_speech,4,0.78
Eta pura nonsOnse,1,Mixed,yes,hate_speech,4,0.94
You are so stupid 😤,1,English,yes,bullying,4,0.77
Tmi ki bawbujho,1,Mixed,yes,hate_speech,3,0.99
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.94
Tmi ki ba bujho 😂,1,Mixed,yes,hate_speech,4,0.8
Eta pura nonsenHe,1,English,yes,hate_speech,4,0.75
Tmi ki ba bujho...,1,Bangla,yes,hate_speech,4,0.95
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.92
Tmi ki ba bujho?? 😂,1,English,yes,hate_speech,4,0.92
You are so stupid,1,Mixed,yes,bullying,4,0.94
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.77
Tmi ki ba bujho,1,Bangla,yes,hate_speech,5,0.84
Eta pura nonpense,1,Bangla,yes,hate_speech,4,0.78
You are so stupid!!! 😤,1,English,yes,bullying,5,0.96
Tmi ki ba bujho... 😂,1,Bangla,yes,hate_speech,3,0.9
Eta pura nonsense...,1,Mixed,yes,hate_speech,4,0.83
Eta pura nonsense... 😤,1,English,yes,hate_speech,3,0.77
You are so stupid!!!,1,Mixed,yes,bullying,3,0.82
Eta pura nonsense,1,English,yes,hate_speech,4,0.83
You are so stuLid,1,Mixed,yes,hate_speech,5,0.93
Eta pura nonsense,1,Mixed,yes,hate_speech,3,0.9
Eta pura nonsense 😂,1,Mixed,yes,hate_speech,4,0.96
You are so ftupid,1,Mixed,yes,hate_speech,3,0.86
You are so stupid 😡,1,English,yes,bullying,3,0.78
Eta pura nonsense,1,Mixed,yes,hate_speech,3,0.92
You are so stupid,1,Bangla,yes,bullying,3,0.93
Eta pura nonsense 😂,1,English,yes,hate_speech,5,0.88
You are so stupJd??,1,English,yes,hate_speech,3,0.94
You are so stupid,1,English,yes,bullying,3,0.87
Eta pura nonsense,1,English,yes,hate_speech,3,0.88
Tmi ki ba bujho...,1,English,yes,hate_speech,5,0.85
You are so sZupid,1,Bangla,yes,hate_speech,3,0.76
Tmi ki ba bujho 😤,1,English,yes,hate_speech,3,0.78
Tmi ki ba bujho?? 😂,1,Mixed,yes,hate_speech,5,0.76
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.9
Eta pura nonsense 😡,1,English,yes,hate_speech,5,0.83
You are so stupid...,1,Bangla,yes,bullying,3,0.87
You are so stupid,1,Bangla,yes,bullying,5,0.97
Eta pura nonsense 😡,1,Mixed,yes,hate_speech,5,0.81
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.85
Tmi ki ba bujho,1,Mixed,yes,hate_speech,5,0.93
You are so stupid 😤,1,Mixed,yes,bullying,3,0.8
Eta pura nonsense 🤮,1,Bangla,yes,hate_speech,4,0.77
Eta pura nonsense 😡,1,English,yes,hate_speech,5,0.82
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.79
You are so stupid,1,Bangla,yes,bullying,3,0.97
Tmi ki ba bujho,1,English,yes,hate_speech,5,0.94
You are so sJupid 😡,1,Bangla,yes,hate_speech,3,0.9
Eta pura nonsense 😂,1,Mixed,yes,hate_speech,4,0.96
You are soLstupid,1,English,yes,bullying,3,0.94
Tmi ki ba bujho,1,Mixed,yes,hate_speech,5,0.79
Tmi ki ba bujho 😂,1,Mixed,yes,hate_speech,5,0.96
You are so stupid,1,Bangla,yes,bullying,4,0.88
You are so stupid...,1,Bangla,yes,bullying,3,0.94
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.97
Eta pura nonsense,1,Mixed,yes,hate_speech,4,0.83
Tmi ki ba bujho??,1,Mixed,yes,hate_speech,5,0.78
Tmi ki oa bujho??,1,Bangla,yes,hate_speech,5,0.8
Eta pura nonsense,1,English,yes,hate_speech,3,0.85
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.95
You are so stupid,1,English,yes,bullying,3,0.96
Etx pura nonsense... 🤮,1,English,yes,hate_speech,5,0.75
Tbi ki ba bujho,1,Bangla,yes,hate_speech,4,0.87
Tmi pi ba bujho,1,English,yes,hate_speech,5,0.85
You arg so stupid!!!,1,English,yes,bullying,3,0.8
Tmi ki ba bujho 😡,1,Mixed,yes,hate_speech,3,0.78
Eta puraBnonsense... 🤮,1,English,yes,hate_speech,4,0.83
Tmi ki ba bujho,1,Bangla,yes,hate_speech,5,0.98
Tmi ki ba bujwo!!!,1,Bangla,yes,hate_speech,5,0.83
Tmi ki ba bujho,1,Mixed,yes,hate_speech,4,0.87
Tmi ki ba bujho,1,Bangla,yes,hate_speech,5,0.92
You are so stupid 😡,1,Mixed,yes,bullying,5,0.84
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.98
You are so stupid...,1,Mixed,yes,bullying,5,0.98
Tmi ki ba bujho!!! 🤮,1,Mixed,yes,hate_speech,5,0.81
Tmi ki ba bujho... 🤮,1,Bangla,yes,hate_speech,4,0.87
You are so stupid 😡,1,Bangla,yes,bullying,4,0.82
Eta pura nonsense??,1,Mixed,yes,hate_speech,3,0.82
Eta pura nonsense 😤,1,Mixed,yes,hate_speech,5,0.76
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.9
Tmi ki ba bujho,1,Mixed,yes,hate_speech,5,0.87
You are so stupid,1,Bangla,yes,bullying,3,0.76
You are so stupid,1,English,yes,bullying,3,0.82
You are so stupid,1,English,yes,bullying,4,0.97
Tmi ki ba bujho,1,Mixed,yes,hate_speech,3,0.81
You are so stupxd 🤮,1,Mixed,yes,hate_speech,5,0.78
Eta pura nonsense... 🤮,1,Mixed,yes,hate_speech,5,0.87
You areBso stupid?? 🤮,1,Mixed,yes,bullying,3,0.99
Tmi ki ba bujho,1,Mixed,yes,hate_speech,5,0.81
Tmi ki ba bujho!!!,1,English,yes,hate_speech,5,0.91
EIa pura nonsense... 🤮,1,Bangla,yes,hate_speech,3,0.93
Eta pura nonsensw??,1,Bangla,yes,hate_speech,3,0.81
Tmi ki ba bujho... 😂,1,English,yes,hate_speech,5,0.92
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.84
Tmi ki ba bujho,1,English,yes,hate_speech,5,0.9
Eta pura nonsense,1,English,yes,hate_speech,4,0.9
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.88
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.77
Tmi ki ba aujho,1,Bangla,yes,hate_speech,3,0.95
Tmi ki ba bujho,1,English,yes,hate_speech,4,0.83
You are so stupid 😤,1,Bangla,yes,bullying,3,0.79
Eta pQra nonsense 😂,1,Bangla,yes,hate_speech,3,0.76
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.89
TXi ki ba bujho,1,English,yes,hate_speech,4,0.91
You are sovstupid 😤,1,Bangla,yes,bullying,4,0.75
Eta pura nonsense??,1,Bangla,yes,hate_speech,5,0.87
Eta pura nonsense,1,English,yes,hate_speech,4,0.8
You are so stupid,1,Mixed,yes,bullying,5,0.9
Tmi ki ba bDjho 😡,1,English,yes,hate_speech,3,0.79
Tmi ki ba bujho,1,Mixed,yes,hate_speech,5,0.92
Tmi Xi ba bujho??,1,English,yes,hate_speech,4,0.84
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.97
You are so stupid,1,English,yes,bullying,3,0.78
Tmi ki ba bujho...,1,Bangla,yes,hate_speech,3,0.83
You are so stupid,1,Mixed,yes,bullying,5,0.78
Eta prra nonsense,1,Mixed,yes,hate_speech,4,0.97
Eta pura nonsense 😡,1,English,yes,hate_speech,3,0.96
Tmi ki ba bujho 🤮,1,Bangla,yes,hate_speech,3,0.81
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.91
Eta pura nonsense?? 😡,1,Bangla,yes,hate_speech,5,0.95
Eta zura nonsense,1,Bangla,yes,hate_speech,5,0.88
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.88
Eta pura nonsense?? 🤮,1,English,yes,hate_speech,5,0.81
Tmi ki ba bujho...,1,Bangla,yes,hate_speech,3,0.77
Eta pura nonsense,1,Mixed,yes,hate_speech,4,0.97
You are so stupid 😂,1,Bangla,yes,bullying,3,0.97
You are so stupid,1,Mixed,yes,bullying,3,0.9
You are sf stupid!!!,1,English,yes,bullying,5,0.83
Tmi ku ba bujho 😤,1,Mixed,yes,hate_speech,4,0.83
Eqa pura nonsense,1,English,yes,hate_speech,5,0.92
Eta pura nonsensF...,1,English,yes,hate_speech,5,0.97
You ahe so stupid,1,English,yes,bullying,4,0.96
Tmu ki ba bujho?? 😤,1,English,yes,hate_speech,3,0.94
You are so ptupid!!!,1,Mixed,yes,hate_speech,3,0.9
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.77
Eta pura nonsense 😤,1,Mixed,yes,hate_speech,3,0.79
Tmi ki ba bujho?? 🤮,1,English,yes,hate_speech,4,0.97
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.9
Tmi ki ba bujho,1,Bangla,yes,hate_speech,5,0.75
You are so stupid,1,Bangla,yes,bullying,4,0.77
Tmi ki ba bujho??,1,English,yes,hate_speech,5,0.91
Tmi ki ba bujho??,1,Mixed,yes,hate_speech,3,0.75
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.79
You are so stupid 🤮,1,Bangla,yes,bullying,3,0.88
Eaa pura nonsense 😂,1,Bangla,yes,hate_speech,3,0.92
Eta pura nonsense...,1,Mixed,yes,hate_speech,5,0.91
Tmi ki ba bujho 😤,1,English,yes,hate_speech,3,0.8
Tmi ki ba bujho!!!,1,Mixed,yes,hate_speech,4,0.92
Eta pura nonsense??,1,English,yes,hate_speech,4,0.81
You are so stupid 😂,1,Mixed,yes,bullying,4,0.83
Tmi ki ba bujho,1,English,yes,hate_speech,5,0.93
EtaKpura nonsense,1,Bangla,yes,hate_speech,3,0.91
Tmi ki ba bujho??,1,Bangla,yes,hate_speech,3,0.95
Eta ptra nonsense...,1,Mixed,yes,hate_speech,3,0.91
Yos are so stupid,1,English,yes,bullying,5,0.89
Tmi ki bN bujho,1,English,yes,hate_speech,4,0.77
Eta pura nonsense??,1,Mixed,yes,hate_speech,4,0.84
Eta Hura nonsense,1,Mixed,yes,hate_speech,3,0.81
You are so stupid,1,Mixed,yes,bullying,4,0.81
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.98
Eta pura nonsense,1,English,yes,hate_speech,5,0.84
Tmi ki ba bujho 😂,1,Mixed,yes,hate_speech,5,0.96
Tmi ki ba bujho,1,English,yes,hate_speech,5,0.9
You are so stupid 😡,1,Mixed,yes,bullying,5,0.94
You are Ko stupid!!!,1,Mixed,yes,bullying,3,0.87
Eta pura nonsense...,1,English,yes,hate_speech,5,0.89
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.87
ETa pura nonsense 😤,1,English,yes,hate_speech,3,0.8
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.92
You are so stupid,1,Bangla,yes,bullying,4,0.82
Eta pura nonsense??,1,Mixed,yes,hate_speech,4,0.76
You are so stupid 😡,1,English,yes,bullying,5,0.9
Tmi ki ba bujho 😤,1,English,yes,hate_speech,5,0.79
Eta pura nonsense,1,English,yes,hate_speech,3,0.98
Tmi ki ba btjho 😤,1,Bangla,yes,hate_speech,3,0.98
Eta pura nonsense!!! 😡,1,Mixed,yes,hate_speech,5,0.97
Eta pura nLnsense,1,Mixed,yes,hate_speech,4,0.84
You are so stupid,1,English,yes,bullying,3,0.75
Eta pura nonsense 😤,1,Mixed,yes,hate_speech,5,0.97
Eta pura nonsense... 😂,1,English,yes,hate_speech,5,0.85
You are so stupid!!! 😤,1,Mixed,yes,bullying,5,0.98
Eta pura nonsense 😤,1,Bangla,yes,hate_speech,4,0.98
Etatpura nonsense,1,English,yes,hate_speech,5,0.95
Eta pura nonsense!!!,1,Bangla,yes,hate_speech,5,0.82
Eta pura nonsense?? 🤮,1,Bangla,yes,hate_speech,5,0.84
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.95
Eta puragnonsense,1,Mixed,yes,hate_speech,3,0.83
Eta pura nonsenpe,1,Mixed,yes,hate_speech,3,0.79
Eta yura nonsense,1,English,yes,hate_speech,5,0.88
You are so stupid,1,Bangla,yes,bullying,4,0.97
Tmi ki ba bujho...,1,English,yes,hate_speech,3,0.92
Eta pura nFnsense??,1,Bangla,yes,hate_speech,5,0.89
Tmi ki ba bujho 🤮,1,Mixed,yes,hate_speech,3,0.77
Tmi ki ba bujho!!! 🤮,1,Mixed,yes,hate_speech,3,0.9
Eta pura nonsense,1,Mixed,yes,hate_speech,4,0.99
You are so stupid,1,Bangla,yes,bullying,5,0.78
You are soJstupid...,1,English,yes,bullying,5,0.87
Tmi ki ba bujho,1,Mixed,yes,hate_speech,4,0.96
Tmi ki ba buPho,1,Mixed,yes,hate_speech,4,0.93
Tmi ki ba bujho 🤮,1,English,yes,hate_speech,5,0.92
Tmi ki ba bujho,1,English,yes,hate_speech,5,0.92
Eta pura nZnsense 😤,1,Bangla,yes,hate_speech,4,0.84
Eta purm nonsense...,1,English,yes,hate_speech,3,0.82
You are so stupid...,1,English,yes,bullying,3,0.94
Eta pura nznsense...,1,Mixed,yes,hate_speech,4,0.94
Tmi ki ba bujho,1,English,yes,hate_speech,3,0.96
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.97
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.87
Eta pura nonseYse,1,English,yes,hate_speech,3,0.87
Eta pura nonsknse 🤮,1,Bangla,yes,hate_speech,5,0.94
Tmi ki ba bujpo!!!,1,Bangla,yes,hate_speech,5,0.91
You are so stupid,1,English,yes,bullying,3,0.92
Eta pura nonsense??,1,English,yes,hate_speech,3,0.94
Eta pura nonsense 😂,1,English,yes,hate_speech,5,0.96
Eta rura nonsense!!!,1,Mixed,yes,hate_speech,5,0.83
Eta pura nonsense... 😂,1,English,yes,hate_speech,5,0.84
You are so stupid 😤,1,English,yes,bullying,4,0.77
Eta pura nonsense 😤,1,English,yes,hate_speech,3,0.89
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.76
Tmi ki ba bujho 🤮,1,Mixed,yes,hate_speech,3,0.86
Tmi ki ba bujho,1,English,yes,hate_speech,4,0.88
Tmi ki ba bujho,1,English,yes,hate_speech,4,0.82
Eta pura nonsense...,1,English,yes,hate_speech,5,0.89
Eta pura nonsense!!!,1,Mixed,yes,hate_speech,4,0.76
EAa pura nonsense,1,Mixed,yes,hate_speech,3,0.76
Tmi ki ba bujho!!!,1,Bangla,yes,hate_speech,5,0.95
You are soUstupid,1,English,yes,bullying,3,0.84
Eta pura nonsense 🤮,1,English,yes,hate_speech,3,0.78
Eta pura nonrense 😡,1,Bangla,yes,hate_speech,4,0.88
ELa pura nonsense...,1,English,yes,hate_speech,4,0.93
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.8
Tmi ki ba bujho,1,Mixed,yes,hate_speech,4,0.9
Tmi ki ba bujho!!!,1,English,yes,hate_speech,4,0.77
You are si stupid... 🤮,1,Bangla,yes,bullying,5,0.76
Yor are so stupid,1,Mixed,yes,bullying,3,0.88
Tmi ki ba bujho,1,Mixed,yes,hate_speech,3,0.88
Eta pura nonsense!!!,1,Mixed,yes,hate_speech,3,0.9
You are so stGpid... 😂,1,Bangla,yes,hate_speech,3,0.92
Eta pura nonsense 😤,1,Mixed,yes,hate_speech,4,0.98
Eta pura nonsense 😤,1,English,yes,hate_speech,3,0.87
You are so stupid,1,Bangla,yes,bullying,5,0.83
You are so stupio!!! 😡,1,Bangla,yes,hate_speech,5,0.94
You are so ntupid!!!,1,English,yes,hate_speech,3,0.81
Tmi ki ba bujho,1,Mixed,yes,hate_speech,3,0.86
You are so stupid,1,English,yes,bullying,5,0.77
You are so stupid,1,Bangla,yes,bullying,5,0.76
You are so stupid,1,Mixed,yes,bullying,4,0.98
Eta pura nonsense,1,English,yes,hate_speech,5,0.95
Tmi ki ba bujho 😤,1,Bangla,yes,hate_speech,4,0.92
You are so stupOd!!!,1,Bangla,yes,hate_speech,4,0.85
Eta pura nonsense,1,English,yes,hate_speech,4,0.79
Eta pura nonsenJe!!!,1,English,yes,hate_speech,4,0.79
Tmi ki ba bujho 😡,1,Bangla,yes,hate_speech,4,0.81
EYa pura nonsense,1,English,yes,hate_speech,3,0.88
Umi ki ba bujho??,1,English,yes,hate_speech,5,0.92
Eta pura nonsense,1,English,yes,hate_speech,4,0.91
You are so stupid,1,Bangla,yes,bullying,5,0.82
Eta pura nonsense,1,English,yes,hate_speech,5,0.98
You are so stupid,1,Mixed,yes,bullying,4,0.93
Eta pura nonsense!!!,1,Bangla,yes,hate_speech,3,0.88
Tmi ki ba bujho,1,Bangla,yes,hate_speech,4,0.9
Eta pura nonUense 😡,1,Bangla,yes,hate_speech,3,0.85
You are so stupid,1,Mixed,yes,bullying,5,0.81
Tmi ki ba bujho,1,Bangla,yes,hate_speech,3,0.84
Eta pura nonsense,1,Mixed,yes,hate_speech,3,0.93
Ata pura nonsense,1,English,yes,hate_speech,3,0.75
Tmi ki ba bUjho?? 😤,1,Bangla,yes,hate_speech,5,0.78
You are so stupid... 😡,1,Bangla,yes,bullying,5,0.76
Etj pura nonsense,1,Mixed,yes,hate_speech,3,0.76
Eta pura nonsense 😤,1,Bangla,yes,hate_speech,3,0.96
You are so stupid??,1,Mixed,yes,bullying,4,0.92
Tmiqki ba bujho,1,Mixed,yes,hate_speech,3,0.86
Etb pura nonsense,1,English,yes,hate_speech,4,0.77
You are so stupid 😤,1,Mixed,yes,bullying,3,0.87
Eta pura nonsense...,1,Mixed,yes,hate_speech,4,0.86
Eta pura Uonsense 😡,1,Mixed,yes,hate_speech,5,0.79
You are so stupid,1,Mixed,yes,bullying,3,0.85
You are so stupid!!!,1,Bangla,yes,bullying,3,0.85
Tmi ki ba bujho 😂,1,English,yes,hate_speech,3,0.9
Eta pura nonsense,1,Bangla,yes,hate_speech,3,0.9
You are so stupid,1,English,yes,bullying,4,0.76
Eta purM nonsense,1,Mixed,yes,hate_speech,3,0.84
You are so stupid,1,Bangla,yes,bullying,5,0.9
Eta pura Donsense,1,Bangla,yes,hate_speech,5,0.87
Eta pura nonsense 🤮,1,Bangla,yes,hate_speech,3,0.96
Tmi ki ba bujho!!!,1,English,yes,hate_speech,5,0.91
Tmi ki ba bujho 😤,1,Mixed,yes,hate_speech,3,0.79
TmR ki ba bujho,1,Mixed,yes,hate_speech,3,0.77
Tmi ki bj bujho!!!,1,English,yes,hate_speech,5,0.9
Tmi ki ba bujho... 🤮,1,English,yes,hate_speech,3,0.76
Eta pura nonsense 🤮,1,English,yes,hate_speech,5,0.89
Tmi ki ba bujho,1,English,yes,hate_speech,4,0.98
Tmi ki ba bujho...,1,Mixed,yes,hate_speech,3,0.89
Eta pura nonsense,1,Mixed,yes,hate_speech,4,0.84
Tmi ki ba bujho 😂,1,Mixed,yes,hate_speech,5,0.9
Lou are so stupid,1,Bangla,yes,bullying,4,0.86
Eta pura nonsense!!!,1,English,yes,hate_speech,4,0.88
Tmi ki ba bujhN?? 😤,1,Bangla,yes,hate_speech,5,0.98
Tmi ki ba bujho,1,Mixed,yes,hate_speech,4,0.84
You are so stupid,1,Bangla,yes,bullying,4,0.98
Tmi ki ba bujho??,1,English,yes,hate_speech,5,0.97
You ale so stupid??,1,English,yes,bullying,4,0.8
Eta pura nonsense!!!,1,English,yes,hate_speech,5,0.77
You are so stupid,1,Bangla,yes,bullying,4,0.77
Eta pura nonEense,1,Mixed,yes,hate_speech,5,0.75
You are so stupid...,1,Mixed,yes,bullying,5,0.77
You are so stupid 🤮,1,Bangla,yes,bullying,4,0.91
You are so stupid?? 😡,1,Bangla,yes,bullying,4,0.77
You are so stupid...,1,Mixed,yes,bullying,4,0.83
You are so stupih!!! 😤,1,Bangla,yes,hate_speech,3,0.95
You are so stupid,1,Mixed,yes,bullying,3,0.76
You are so stupid,1,Mixed,yes,bullying,3,0.95
Eta pura nonsensY... 😤,1,Bangla,yes,hate_speech,5,0.82
You aZe so stupid!!!,1,Mixed,yes,bullying,4,0.78
You are so stupid 😡,1,Mixed,yes,bullying,5,0.92
Tmi ki ba bujho,1,Mixed,yes,hate_speech,3,0.9
You are so stupid 😂,1,Bangla,yes,bullying,4,0.96
You are so stupid!!!,1,English,yes,bullying,5,0.93
Eta pura nonsense,1,Bangla,yes,hate_speech,4,0.94
Tmi ki ba bujho 😡,1,Bangla,yes,hate_speech,5,0.82
Tmi ki ba bujho,1,English,yes,hate_speech,4,0.79
You are wo stupid!!!,1,English,yes,bullying,3,0.93
Tmi ki ba bujto 🤮,1,Bangla,yes,hate_speech,3,0.94
Eta pura nonsense??,1,Mixed,yes,hate_speech,4,0.99
Tmi ki ba bujho 😤,1,English,yes,hate_speech,5,0.85
Tmi ki ba bujho 😤,1,English,yes,hate_speech,3,0.84
Tmi ki ba bujho 😤,1,Mixed,yes,hate_speech,3,0.94
Tmi ki ba bujho 🤮,1,Bangla,yes,hate_speech,3,0.83
Eta pura nonQense,1,Mixed,yes,hate_speech,4,0.97
Tmi kidba bujho,1,Bangla,yes,hate_speech,4,0.96
Tmi ki ba bujho,1,Mixed,yes,hate_speech,5,0.85
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.93
You are so stupid??,1,Bangla,yes,bullying,5,0.93
You are fo stupid??,1,Mixed,yes,bullying,4,0.77
You are si stupid...,1,Mixed,yes,bullying,4,0.97
Eta pura nonsense,1,English,yes,hate_speech,5,0.87
Eta pura nonsense...,1,Mixed,yes,hate_speech,5,0.95
Tmi Ni ba bujho,1,Bangla,yes,hate_speech,4,0.83
Eta pura nonsense,1,Bangla,yes,hate_speech,5,0.96
You are so stupid 🤮,1,Mixed,yes,bullying,3,0.84
You are Mo stupid,1,Bangla,yes,bullying,4,0.75
Tmi ki ba bujho... 😤,1,English,yes,hate_speech,5,0.97
Eta pura nonsense,1,Mixed,yes,hate_speech,4,0.77
Eta pdra nonsense 😤,1,Mixed,yes,hate_speech,3,0.83
Tmi ki ba bujho,1,Mixed,yes,hate_speech,4,0.98
You are so stupid...,1,Bangla,yes,bullying,4,0.98
Eta pura nonsense,1,English,yes,hate_speech,4,0.89
You are so stupid...,1,Bangla,yes,bullying,4,0.9
You are so stupid,1,Bangla,yes,bullying,3,0.86
Eta pura nonsense?? 😤,1,English,yes,hate_speech,4,0.82
Tmi ki ba bujho,1,Mixed,yes,hate_speech,4,0.83
Eta pura nonsense??,1,Bangla,yes,hate_speech,5,0.91
You are so stupid...,1,Mixed,yes,bullying,4,0.93
YVu are so stupid 🤮,1,Bangla,yes,bullying,5,0.94
Tmi ki ba bujho...,1,Mixed,yes,hate_speech,3,0.94
Eta purr nonsense,1,Bangla,yes,hate_speech,3,0.77
Eta pura nonsense!!!,1,English,yes,hate_speech,3,0.87
Eta pura nonsense,1,Mixed,yes,hate_speech,3,0.76
Eta pura nonsense,1,Mixed,yes,hate_speech,5,0.88
You are so stupid,1,Mixed,yes,bullying,4,0.86
Tmi ki ba bujho 😡,1,Mixed,yes,hate_speech,3,0.96
Tmi ki ba bujho,1,English,yes,hate_speech,4,0.83
Tmi ki ba bujho,1,English,yes,hate_speech,5,0.78
Eta pura Wonsense!!!,1,Bangla,yes,hate_speech,5,0.78
You are so stupid 🤮,1,English,yes,bullying,5,0.93
You are so stupid,1,English,yes,bullying,3,0.9
Tmi ki ba buZho 😤,1,Mixed,yes,hate_speech,4,0.77
