sentence,hate,harassment_type,severity
স্যারের কোন দোষ নাই 🙄 যত দোষ নন্দ ঘোষ এটাই এখন চরিত্র দোষ 😠😠😠,0,none,2
শালীরে জুতা মার,1,threat,5
অসভ্য অযোগ্য বেয়াদব নেশাখোর পাগল জাজকে যারা গণপিটুনি দিতে পারবে তাদের মধ্যে একজনকে মাসুদ রানা দেওয়া হোক।,1,hate_speech,5
"Zafar Iqbal is a Islam hater atheist,",0,none,1
"কেউ বৃত্তি পাচ্ছে, কেউ না, তখনি ধরেছিলাম,এটা রসিকতা নয়,একটা ধোকা,প্রতারনা ছাড়া আর কিছুই নয়। এই গোল্ডেন জি পি এ আমাদের মতো গরীব অভিবাদকদদের পকেট, শিক্ষক নির্ভর  কোচিং বানিজ‍্য কতৃক  ছিনতাই ও ফতুর করেছে।আপনাদের মতো লোকরাই তা চালু রেখেছে।শিক্ষকদের কোটিপতি বানানোর নির্ভুল পদ্ধতি আবিষ্কার করেছেন। এক একজন শিক্ষকের কোটি টাকার সম্পদ, বাড়ী, বিলাসবহুল গাড়ী,অত‍্যাধুনিক ফ্লাট আরো কত কি। আমরা রীতিমতো জিম্মি। পুলিশের অভিযান আইওয়াশ,পদ্ধতি বহাল রেখে।আরো লিখতে মন চাইছিলো,কিন্তু ঘৃনায় ও থুথু নিক্ষেপ করতে হতে পারে বিধায় লিখলাম না।",0,none,1
মাদারসুদ রা মাজারি পূজা বলবি কেন? আল্লাহ ধর্ম উনাদের দ্বারাইতো প্রচার হয়ছে এবং আমরা ইসলাম ধর্ম পেয়েছি।,1,hate_speech,5
মাদারচুদেগোরে ধরে কুত্তার মত পেটানো উচিৎ। মুশফিকরে গালি দিছেতো কি হইছে সে কি আল্লাহর ফেরেশতা নাকি ছেলেটাকে দেখে ভদ্র মনো হচ্ছে গাঁজাখোরের দল তার উপর অন্যায় অত্যাচার করলো আমার মতে এই ছেলেটার কাছে তাদের ক্ষমা চাওয়া উচিৎ।,1,threat,5
চুদ মারানি তুই কি বালের ফিজিক্স বই লেকসু যে কনো বালই বুজিনা।।।।,1,threat,4
তোর চ্যানেল বন্ধ হয়ে যায় এবং লাইক না করে কেউ যদি তাহলে আমি খুব হ্যাপি হবো কি ফটো লাগিয়ে ছিস বে,0,none,1
বাংলাদেশের ক্রিকেটার খেলা বন্ধ করে দেওয়াই ভালো। যে বালের খেলা খেলে।আবার বয়কট ও করছে!!!! হা হা হা। ভালো খেলে দেশের জন্য কিছু করে দেখাইয়া বেতন বাড়াইয়া চাও।লজ্জা করে না প্লেয়ারদের এসব করতে।আর পাপন সাহেব কেও বিসিবি থেকে বাদ দেওয়া হোক।উনিও ধোয়া তুলসি পাতা না।,1,bullying,3
এই কুত্তা কে জুতা দিয়ে পৃথিবীর সমস্ত মানুষের সমস্ত জুতা দিয়ে ইচ্ছেমতো পিটানো দরকার বেয়াদব কুলাঙ্গার তোর সন্তানরা তোকে এমন মারবে দেখবি কুত্তা হাই ওয়ান জানোয়ার,1,threat,4
কাউয়া হালায় করে কি তোর নাটকে মুগ্ধ জাতি,0,none,2
মন্ত্রী হতে চাও বুঝি বাবু😌,0,none,2
মোনাফেকরা আজ হোক কাল বিলীন হবেই। মোস্তাক হয়েছে সাহা আজিজ হয়েছে জিয়া হয়েছে। খালেদা ও তারেক জিয়াও হবে। কারন রাজনিতীতে ষঢ়যন্ত্র কোনদিন তামাদি হয় না । এ হোল ইতিহাসের নিরব বিধান।,0,none,2
পাপন কুত্তার বাচ্ছা কে জুতা মার,1,threat,4
আয় হালারপুত আওয়ামী লীগের পা চাটা গোলাম,1,hate_speech,3
খানকির পোলারা চামচার দল লোকটা নিদোশ,1,hate_speech,4
ওকে দেখ তে চাই না বাংলাদেশ পুলিশ হিসাবে,0,none,1
এতো মানুষ নিয়ে লাইসেন্স চেক করলে পুরু রোড তো জ্যাম লাগবে এটা কি মন্ত্রি সাহেব বুঝেন না।,0,none,2
মাদারচুদের তাও লজ্জা শরম নাই সে বলে তদন্ত চুদাবে।,1,hate_speech,4
ভোদা তুই বোদা বেসস,1,hate_speech,4
"স্যার, আপনার পোষ্টে কমেন্ট করতে করতে আর পড়তে পড়তে আজ আমি ক্লান্ত! আঝ আড় কমান্ড কড়ার বাশা কোজে পাচ্চি না! 🐸🐸",0,none,1
"জাফর সাহেব ওটা কোটা বিরোধী নয় , কোটা সংস্কার আন্দোলন । কে কোথায় নিজেকে রাজাকার বলেছিল তার জন্য গোটা আন্দোলন প্রশ্নবিদ্ধ হতে পারে না । আর আপনি বলেছেন এটা চাকরি পাওয়ার আন্দোলন , কিন্তু এই আন্দোলনের মুলে রয়েছে যোগ্যদের অধিকার নিশ্চিত করা(অনেকে জানে যে তারা সরকারি চাকরি পাবে না , যেমন আমি ) ।  এই আন্দোলন মুক্তিযুদ্ধের চেতনার বাহিরে নয় , বৈষম্য তৈরি করতে মুক্তিযুদ্ধ হয় নি । গনদাবিকে গলা টিপে ধরতে মুক্তি যুদ্ধ হয় নি ।  জনাব জাফর সাহেব আপনি জনমতকে গুরুত্ব দেন না , মুক্তিযুদ্ধ কিন্তু বইপত্রের সেন্টিমেণ্ট না , এটা একটা মূল্যবোধ যার দ্বারা একটি জাতি এক হতে পারে ,জাতিয় স্বার্থে এক হতে পারে , আপনার মত সুবিধাবাদী বুদ্ধিজীবী নাম ধারিরা কেবল সেণ্টিমেন্টাকেই বেঁচে খাওয়ার চেষ্টা করছেন । সংখ্যাগরিষ্ঠ মানুষের দাবিকে উপেক্ষা করে মুক্তিযুদ্ধের সেন্তিমেন্ট টাকে ব্যাবহার করছেন । আপনারা শুদ্ধ হন , তারুণ্যকে লালন করার চেষ্টা করুন",0,none,1
ভারতে প্লেয়ার খারাপ খেল্লে গাল দিলে কেও কিছু বলে না আর বাংলা দেশের গার পাকামো যত সব বালের মুশফিক কে গাল দিঃয়েছে ঠিক করেছে,0,none,1
কত কথা কত লেখা দেখলাম,0,none,2
বুদ্ধিজীবি হলেই যে তার মাথায় বুদ্ধি থাকবে এমন কোন লজিক নাই। তবে আপনার মাথায় বুদ্ধি আছে এটা আমি সিওর;তা নাহলে কি ৭১ এ গর্তে লুকায়া জীবন বাঁচাতে পারতেন🐸🐸,0,none,2
ভাই আমিন খানের ছবি আরো দেন,0,none,1
আবেগ ব্যাবসা অফ করেন,0,none,1
কাঠাল পাতা প্রয়োজন।,0,none,1
শাহিন আলম যে নাম্বার নয় টা দিল সাহেরাকে আর দুটো কোথায়।,0,none,2
খানকিমাগী পারলে তুই আজকে রাতে মাজা তোর মতন মেয়ে বেচে থেকে কোন লাভ নেই তুই নারীজাতির কলঙ্ক ও,1,sexual_harassment,4
সৃজিত কুত্তার বাচ্চা,1,bullying,5
নটির বাচ্চা পরিচালক বেগ্রাউন্ট সাউন্ড কম দিলে কি হতো রে আবাল!?,1,hate_speech,3
উরি বাব্বাইরান আর তুর্কিকি বিশাল শক্তিশালী দেশ রে বাওয়াআমরা তো সব ভয় পেয়ে গেছিশোন্ভারত কে সবার প্রয়োজনভারত এর কাও কে দরকার নেইআমরা একাই,0,none,2
কষ্ট হচ্ছেরাগ হচ্ছে সাথে লজ্জা,0,none,2
পাপন শালা তুই এতো লেকচার না দিয়ে বুকে সাহস থাকলে পদত্যাগ কর!! তোকে বাংলাদেশ ক্রির্কেট পরিচালক হিসাবে চাইনা আর ওরা আন্দোলন শুধু ওঁদের জন্য করে নাই সকল ক্রির্কেটারদের জন্য করছে তুই দেশের ক্রির্কেট এরজন্য কি বাহ কতটা করতেছিস সবাই জানে!! তুই সাকিব মুশফিক মিরাজ এবং সবাইকে নিয়ে বাজে খারাপ কথা বলছিস তোকে জুতা পেটা করা উচিৎ কুকুরের দুই নাম্বার বাচ্চা পাপন মাদারিচোদ তুই তোর নিজের পকেট কতটা বরছিস সেটার হিসাব দে আগে পাপন কাক্কু!! নতুন করে ক্রির্কেট পরিচালক গঠন করা হোক এইটা দেশের ক্রির্কেট বক্তদের দাবী!! চোরের মায়ের বড় গলা যেমন তুই পাপন কাক্কু গলা এখন বড় হয়ে গেছে!! বাহিরে দেশে সব খেলায় লাইভে দেখায় আমাদের দেশে কয়টা খোলা লাইভে দেখাই বাহ দিস সেটা বল পাপন কাক্কু!! এতো খেলোয়াড় দের মধ্যে শুধু একটা মাত্র খেলোয়াড় এর কথা বলি!! ইমরুল কায়েস তোর বউ মেয়ের হোগ্ঙা মারছে নাকি নয়তো ওঁকে দলে চান্স দিস না কেন সেটা বল আগে হারামজাদা কুকুরের দুই নাম্বার বাচ্চা পাপন কাক্কু!! 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡,1,sexual_harassment,5
শালা তুই একটা বেয়াদব,0,none,1
ভূতের বাচ্চা জাফর ইকবাল,1,hate_speech,5
খানকির পোলা নামাজ নিয়ে কিছু বলবি না,1,hate_speech,4
পুরান নাটক তো ভাইয়া নতুন নাটক আপলোট দেন,0,none,2
জিহাদি হুজুরকে রোস্ট করার পর একটু খারাপ লেগেছিল এখন দেওয়ানবাগী কে রোস্ট করায় সেই কষ্ট টা ভুলে গেছি ভাই 😍😍😍,0,none,1
শাকিব অপু মিল হলে খুশি হবো,0,none,1
আমরা প্রত্যেকটা প্রবাসী ও অনেক খুশি হয়েছি আমরা তাদের সবাই ফাসি চাই,0,none,1
তরা খারাপ,0,none,1
পুরো লেখাটা পড়ে খুব কষ্ট লাগলো যখন দেখলাম আপনি এর সাথে ৭১ এর কোনো কানেকশন পেলেন না 😥 হয়তো পেয়েছেন কিন্তু টাইপিং মিসটেকে ছুটে গেছে। লেখাটা আবার এডিট করার তীব্র দাবী জানাচ্ছি ✌😷,0,none,2
দুনিয়া কেয়ামত হতে দেরি নাই,0,none,1
নাস্তিকের বাচ্চার সাহস হইলো কিভাবে হুজুরের গায়ে হাত দেয়ার,0,none,1
আপনার হিংসা হয়,0,none,1
মাগিবাজ,1,hate_speech,4
বাছতে চাইলে বালু হয়ে যা,0,none,1
ওটা তুর মায়ের জামাইর ছবি,0,none,1
এমন কুত্তার বাচ্চাদের কে বিচারক দিছে কে। ব্যাবহার শিখিয়ে তারপর এদের বিচারক বানানো উচিৎ,1,bullying,4
ওবায়দুল কাদের অনেক ভালো মানুষ তাই তোমাদের মতো মহিলাদের নিয়ে রাত্রি কাটায় সালি আওয়ামীলিগ দেশটাকে রসাতলে নিয়ে গেছে তারপরে ও বড় বড় কথা,0,none,2
কার কাছে কত রকম জুতা আছে? তা দিয়ে তাহেরিকে মারেন! 👢👡👠👟👞। তাহেরিকে কুকুরে কামর মারক।🐕🐕🐕🐕🐕,0,none,2
আমিও বিয়ে করতে চাই😍😍,0,none,1
আপনার পর্দার আড়ালে কিছু অপকর্ম আছে যা মেনে নেয়ার মত না।,0,none,2
ঠিকই আছে বিচার এদের কে নিয়ে আলোচনা সমালোচক করা অনুচিত ওকে,0,none,2
খানকির পোলার দেশে মাগির পোলার বসবাস দুই বছর পর আইসিসির বাচ্চা বাহির হলো,1,hate_speech,3
কাউয়া কাদের লীগের ফাঁসি চাই,1,hate_speech,5
ওকে দল থেকে বাদ দেওয়া উচিত।,1,hate_speech,5
আসালামু আলাইকুম ভাইজান আপনার মাথাই টুপি কুথাই টুপিদিলে আরো ভালো লাগতু।,0,none,1
নাস্তিক দল জাহান্নামে যাবে কুকুরের দল নাস্তিকের বাচ্চা,0,none,2
আমরা চাই সাকিব ভাই আপুকে আবার ও বিয়ে করুক,0,none,2
এর পরে হিজবুত তাওহিদ নিয়া ভিডিও করেন ভাই,0,none,1
তালি এক হাতে বাজেনা ডিসির বৌ ডিসিকে চুদতে দেয়না এটা বড় কারন। একজন পুরুষ মানুষ না চুদতে পারলেই এই আকাম করে। অনেকে আমাকে অসভ্য বলতে পারে কিন্তু আমি খাটি বাংলা ভাষায় কথা বলছি। দেশে সেই রকম ভালো মানের পতিতালয় নেই পুরুষরা একজন আরেকজনকে পুটকিমারা ছাড়া কিভাবে যৌনতা মেটাবে আমার জানা নেই। যে বিষয়টা বলার জন্যে আমি কমেন্ট লিখতে চেয়েছি। সেটা হলো মেয়েটি একটা বেশ্যা এতে সন্দেহ নাই। কথায় আছে যেদিন থেকে নারী বাইরে পা দেয় সেদিন থেকে খানকির খাতায় নাম লেখায়। মেয়েটা বার বার কেমেরার দিকে তাকাচ্ছে লক্ষ করলে বুঝা যাবে। এটা একটা ফাঁদ ডিসিকে বিপদে ফেলার একটা সাজানো খেলা।,1,sexual_harassment,3
আপনার মতো দনের বাল যদি দশ হাজার টাকার ঘরি পরে তাহলে কাদের পরতে পারে দশ কোটি টাকার,0,none,2
আল্লাহ এই হারামজাদাকে হেদায়ত দান করো তারাতারি প্রিজ এরে মৃতু দান করো আমিন,1,hate_speech,4
বৎস এতোদিন পর একটা পোস্ট প্রসব করিয়াছো তা আবার উপন্যাসের মতোই...  মদ খাও মানুষ হও...,0,none,1
মাননিয় বিচারকমন্ডলির কাছে আবেদন এরাযেন বাছতেনাপারে,0,none,1
💟 ভাই তুমার কলিজাটা বহুত বরো ভাল লাগছে 💟,0,none,1
বাংলার জনগণ তুর পাগলা বুঝ বুঝে কাম হবে না,0,none,1
কিছু বলার নাই,0,none,2
মুশফিক কোন চেটের বাল,1,hate_speech,4
শুধূ কাশ্মীর নয় আর ও কিছু স্বাধীন হবে কারন যে ভাবে গোরক্ষা লাভ জিহাদ মব লিচিং মুসলিম অবমাননা বিদ্বেষ ছড়ানো হচ্ছে আর্থিক ভাবে দুর্বল হচ্ছে তাতে বেশি দূরে নয়,0,none,1
টাইম দিওনা অতি সত্তর ফাসিত লট কাঊ,0,none,2
এই মিন্নি দায়ি ওকে কেন পুলিশ দরছেনা,0,none,2
ভাই আগামী দুই বছরের ভিতর বাংলাদেশে কোন টিম কে হারাতে পারবে না শুধু হারবে বাংলাদেশ এখন,0,none,2
আপনি শিক্ষক নামের একটা বুকাচুদা।,1,hate_speech,3
বলে লাভ নাই এদের কিছুই হবে না,0,none,1
কালি ডোভাই সয়তান না বড়ো সয়তান বাংলাদেশ,0,none,1
পির মানেই সেখানে সমস্যা আছে।,0,none,1
জুতামার সালারে কুত্তার বাচ্চা,1,threat,5
আপনার লেখা পড়ে অবাক হই নাই!!! কারণ এ দেশে শুধু শিক্ষিত অবশ্য নামমাত্র কিছু মানুষের জন্য আমাদের দেশের এই অবস্থা!!  আগে তারা বদলালে বাকিরা ঠিকই বদলাবে!!!,0,none,2
মাসুদ রানা আর হওয়া লাগবে না।এর আগে মইরা ভূত হমু,0,none,2
আল্লাহ এই পেড মডুর বিচার করুক। সালায় রাস্তায় পইরা মরুক। ক্রিকেট বোড থেকে বাদ হক। সালা আবালের আবাল 💜,1,hate_speech,3
খুব ভালো লাগছে,0,none,1
বাদ দে,0,none,2
যারা কমেন্ট করেন তাদের দৃষ্টি আকর্ষন করে বলতেছি যে নবীর কলমা পরে আমরা মুসলমান হইলাম সে নবীর অক্ষর জ্ঞান ছিলনা যে নবীর হাদীস পড়ে মানুষ বড় আলেম হয় এখন নাকি সে নবী নিরক্ষর হয়ে গেছেন মানুষ কত বড় মূর্খ হলে এইরকম কথা বলতে পারে যে নবীর শানে একের পর এক বেয়াদবী করতেছে সে কিভাবে মানুষের প্রিয় বক্তা হয় যে কুরআন হাদীস পড়ে নবীর শান পায়না সে আবার কিসের বক্তা ? মহান আল্লাহ বলেন পৃথিবীর গাছকে যদি কলম বানানো হয় আর সাগরের পানিকে যদি কলমের কালী করা হয় জমিনকে যদি কাগজ বানানো হয় তার পর ও আমার হাবীবের শান বর্ণনা করে শেষ করা যাবেন। নিশ্চয় আযহারী একটা বলদ এতে কোন সন্দেহ হয়।,0,none,1
তোদের উপর আল্লাহর গজব পরুক,0,none,1
"অসাধারণ, প্রভাবিত হবার মতোই লেখনী।তবে,চাঁদের মতো স্যর 'দেরও আছে(ভীরুতা?)।",0,none,1
আবুল মকসুদের মত বুদ্ধিজিবি দেশ সমন্ধে না বললেই ভালো কারন উনি নিজেই মরার আগে কাফনের কাপড় পরে মরে গেছেন বা তার চিন্তা বুদ্ধি মরে গেছে।এই দেশে যদি এতই সমস্যা তবে উনি এই দেশে আছেন কেন।,0,none,1
এই রকম লুকের পাসায় গরম লট লাগাই দিলেও রাগ কমবে না একে ত। এই দেওয়ান বাগি কুত্তার বাচ্চা,1,bullying,5
মিন্নি অবশ্যই এই বিষয়ে কিছু জানে এটা আমি এর সাথে বলছি মিন্নি কে রিমান্ডে নেওয়া হোক প্রতিবাদ জানাই,0,none,1
কোথায় খালেদা জিয়া? আর কোথায় কাউয়া হাম বা বে টী কয় কি? বুজে আসেনা,0,none,1
কাওয়া কাদেরের কিসের সতোতা,1,hate_speech,3
"আপনার এতো আগের লেখাতে মন্তব্য দেয়া অর্থহীন কাজ। তবু, সরকারের এমন দমন পীড়ন নিয়ে কিছু বলতে মন চাইছে। যেকোন বুদ্ধিমান সরকার তার কর্মকান্ডের সমালোচনা থেকে নিজের কাজের বিষয়ে সতর্ক হয় ও শিক্ষাগ্রহণ করে থাকে। এমন নিপীড়ন করে মুখ বন্ধ করতে চায় না। সরকারের বুঝা উচিৎ ছিলো, মুখতো একটি দুটি নয়। হাজার হাজার মুখ বন্ধ করতে গেলে নিজের দেশের সব মানুষই হয়ত এই কাতারে দাঁড়িয়ে যাবে। এই বিষয়ে সরকারকে আরো সচেতন হতে হবে।",0,none,2
ঐ জানোয়ারেরা জখন ও কে ফুড়িয়ে মারছিল তখন ওর মা বাবার কাছেও এমন ই লাগছে,1,threat,4
পাকিস্তান মুসলিম জই হবে হবে,0,none,2
আল্লাহ এইটা কেমন ছেলে,0,none,2
এই মালাউনের বাচ্চা ব্যাংকের কোটি টাকা কই গেল?,1,hate_speech,4
তুই ফাযিল,0,none,1
এই গুলা সবাই মিলে একটা ক্যাসিনো,0,none,2
এই বক্তা যে আল্লাহর অলির দুশমন তাতে কোন সন্দেহ নাই এ ভয়ে আল্লাহর অলির কিছু প্রশংসা করলেও এরা আল্লাহর অলি মানে না এ বক্তা কে জুতা মারা দরকার ছিল এটা শয়তানের দল যে প্রতিবাদ করেছে সে প্রকৃত ঈমানদার আল্লাহর রাসূল প্রেমিক অলি প্রেমিক আল্লাহ প্রেমিক,0,none,2
এই পাপন মাদার চোট নান্নু সুজন এই হালারা বাংলাদেশ ক্রিকেট ধংসের জন্য যথেষ্ট । কোন দেশে এই রকম পাওয়ার দেখায় পাপনের মতো । যেন সব খেলোয়াড় রা ওদের গোলাম । মনে রাখতে হবে আমাদের জনগনের টাকায় সরকার সব কিছু চলে । সাকিবের কিছু হলে পাপন মাদার চোট তোর খবর আছে,1,threat,3
মাগিখুনি। বিচার চাই,1,hate_speech,4
এ মাগি তুই বাজারে বাজারে চোদা দে,1,sexual_harassment,4
তগরে জুতা মারার দরকার সালার পু তে রা,1,threat,5
এটা কোনো নায়িকা হলো,0,none,1
ভুয়া সরকার লীগ,0,none,2
জয় একটা কুত্তার বাচ্চা,1,bullying,3
মা বাবা বৃদ্ধ হয়ে গেলে ছেলে মেয়ে গুলা মনে হয় একটা কিছু হয়ে যায় মা বাপ কত কষ্ট করে ছেলে মেয়েকে বড় করছে সেটা ভুলেই যাই জানোয়ার কোথাকার,1,sexual_harassment,3
জাতীয় দলে খেললে বালও ছিরতে পারবে না সবার জানা আছে,1,hate_speech,3
খানকি মাগীর পোলা সবাই রিপোর্ট মারেন এই মাদার চোদের সব ভূয়া ভিডিও,1,sexual_harassment,3
ফাজলামি চোদানোর আর জাইগা পাই না অবশ্যই ফাজলামি করার জাইগা শুধু মাত্র আমাদের দেশ এ অন্য দেশে করলে পুটকি মারা দিবে,1,sexual_harassment,5
বর খেলোয়ার হয়েছে দেখে কোন কথা বলা জাবে না মুশফিক পাগল হয়ে গেছে,0,none,2
সাবাস মানুষের বাচ্চা সিংহ বাঁচতে হয় এক ঘন্টা বাজবে সিংয়ের মত। ♥️♥️♥️♥️,0,none,1
তুই মাদারচোদ যুদ্দের সময় পাকিস্তানি হানাদার বাহিনীকে মানুষের মুরগী  চুরি করে খাওয়াইছিস আর এখন মুক্তিযুদ্ধের চেতনা চুদাস তুই বড় রাজাকার তোর ফাসি হওয়া দরকার।,1,sexual_harassment,5
এগ কথা কে শুনে। মিথ্যা আর ধোঁকাবাজি সাথে যাদের সম্পর্ক।,0,none,2
ধন্যবাদ ভাই ভালো লাগে ল,0,none,2
বাংলাদেশ শেষ্ঠ খারাব পুলিশ,0,none,1
ও মিথিলা কে নিয়ে ভাবেই না তুই মিথিলার চুদার ভিডিও দেখতে চাষ তাই রাগে এই ভিডিও,1,hate_speech,4
মাদারচোদ কানা তুই ভিডিও বানাচ্ছিস তোর বোনকে যদি এভাবে মারতো তখন তুই বুঝতি মাদারচোদ,1,sexual_harassment,5
ইয়েছির আলী হালা খেলা জানেনা,1,hate_speech,3
সব চেয়ে দুনিতিবাজ ওয়বাদুল কাদের অাওয়ামিলিগ সব চেয়ে দুরনিতিবাজ,0,none,1
আমি এর বিপক্ষে,0,none,1
ভাই দিপক আগারয়াল কোতায় ওর কি সাস্তি হয় নাই,0,none,1
"তোমার হাত পাখার বাতাসে<br />মন জুড়িয়ে আসে,,,,<br />কিছু সময় থাকো আমার<br />পাশে,,,,",0,none,1
তিনটি মাগী নিয়ে অনুষ্ঠান। তোদের যৌবন যখন শেষ হয়ে যাবে তখন কুকুর ও তোদের দিকে তাকাবে না।,1,hate_speech,5
দেশটা দিন দিন অধপতনের যাচ্ছে। এই সব কুত্তা লিগের বিচার করবা কে?,0,none,2
"আপনার মতো একচোখা দালাল, কীটকে একসময় পছন্দ করতাম! এটা ভাবতেই অবাক লাগে... দালালি ছাড়েন,লাইনে আসেন।",0,none,1
আল্লাহ তো বিচার করবেই র্নিঅপরাদ মেয়েটাকে যখন মেরে ফেলছিলো তখন কোথায় ছিলো এত কান্না নুসরাতের মা ও এই রকম করছিলো মেয়েটা মৃত্যু আগে একটু পানিও খেতে পারেনি😓😓,0,none,2
তাহলে অনেকদিন পর একটা জিনিস বুঝতে পারলাম অনুপ্রবেশকারী ভিতরে ওবায়দুল কাদের অন্তর্ভুক্ত হলেন আহা কি শান্তি,0,none,2
ছেলের পাকা বাড়ি আর মায়ের জায়গা ওই ঝুপড়ি সদ্যোজাত অবস্থায় ওই ছেলের মুখে বিষ গুলে খাইয়ে দেওয়া উচিত,0,none,1
ওকে বহিস কার করার জন্য ধন্যবাদ পরিচালক দের,0,none,2
দুধ দেখে মাথা নস্ট মেযে জাতির কলক্ক,1,hate_speech,4
আমরা গনতান্ত্রীক দেশ এ বাস করি তো তাই কথা বললে মরতে হবে না হলে হয়রানির শিকার হতে হবে। আসলে গণতন্ত্র এর মানে কি তা বইতে দিয়েন। এটা আবেদন 😖,0,none,2
মমর টা একটু বেশি,0,none,1
ছি মিন্নি!আমাদের পরিচিত বা কাছের কারো গায়ে কেউ হাত তুললে আমরা সেটা সহ্য করতে পারি না।।আর সেখানে তো রিফাত তুমার স্বামী ছিল।। কিভাবে পারলে মডেল এর মত কিরে হেটে যেতে!!তুমার উচিৎ ছিল প্রথমেই ওদের থামানু।।বাধা দেউয়া তোমার দোষ আছে কিনা জানি না তুমার এই কাজ টা আমার ভাল লাগলো না😞😞,0,none,1
নিশ্চই কোন হিন্দুরে বাসাইবো । যাতে ভারতের কাছে দেশটা বিক্রী করতে অসুবিধা না হয় যেমনটা রাব্বানিকে সরিয়ে এক হিন্দুকে বসাইছে,0,none,2
সানিতা আছিলো কি এখন হয়েছে কি সুজন সখির নায়কা সেই নাকাকে ১০ চুদলে কিছুহবে না আমি শরীয়াতপুরের ছেলে নড়িয়া বাড়ি,1,threat,3
